City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
598,Stephenville,US,84.99,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
601,Alexandria,EG,80.56,scattered clouds,31.2156,29.9553,Royal Crown Hotel
603,Bucerias,MX,82.98,few clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
607,Ishikawa,JP,79.54,broken clouds,26.4233,127.8214,Sheraton Okinawa Sunmarina Resort
612,Nabire,ID,82.31,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
613,Penalva,BR,71.26,scattered clouds,-3.2942,-45.1736,Hotel São José
616,Urengoy,RU,76.68,overcast clouds,65.9667,78.3667,Gostinnitsa Medveditsa
618,Pringsewu,ID,84.16,overcast clouds,-5.3582,104.9744,Urban Style by Front One
621,Shimoda,JP,77.36,light rain,34.6667,138.95,Shimoda Tokyu Hotel
629,Yining,CN,77.02,overcast clouds,29.0361,114.5636,Xiushui Hotel
630,Le Port,RE,77.25,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
632,Majene,ID,84.34,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
637,Buala,SB,81.48,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
640,Jalingo,NG,77.81,broken clouds,8.8833,11.3667,Debright Motel
641,Catio,GW,78.58,broken clouds,11.2833,-15.25,Pausada Morabedja
645,Pedernales,DO,77.95,overcast clouds,18.0384,-71.744,Hotel Costa Marina
649,Indramayu,ID,84.4,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
653,Tura,IN,83.52,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
654,Fomboni,KM,79.7,clear sky,-12.28,43.7425,Auberge les abou
664,Sargur,IN,82.98,overcast clouds,11.9833,76.4167,Sri rama jyothishyalaya
667,Dakar,SN,77.13,broken clouds,14.6937,-17.4441,Novotel Dakar
