City_ID,City,Country,Lat,Lng,Max Temp,Humidity (%),Cloudiness (%),Wind Speed,Current Description
169,Corinto,GR,37.9407,22.9573,77.41,71,6,4.85,clear sky
170,Moctezuma,MX,29.8,-109.6667,79.12,59,92,5.14,overcast clouds
171,Poum,NC,-20.2333,164.0167,74.82,79,15,14.88,few clouds
172,Egvekinot,RU,66.3167,-179.1667,41.14,44,36,4.38,scattered clouds
173,Kaltasy,RU,55.9693,54.8032,47.39,81,100,10.25,overcast clouds
174,Roros,NO,62.5747,11.3842,51.64,62,100,13.8,overcast clouds
175,Teknaf,BD,20.8624,92.3058,87.62,68,98,10.71,overcast clouds
176,Loreto,MX,22.2667,-101.9667,64.87,61,2,11.74,clear sky
177,Vila Franca Do Campo,PT,37.7167,-25.4333,62.2,89,100,12.93,overcast clouds
178,Road Town,VG,18.4167,-64.6167,80.69,75,61,20.22,broken clouds
179,Georgetown,MY,5.4112,100.3354,84.15,79,40,8.05,scattered clouds
180,Nikolskoye,RU,59.7035,30.7861,66.09,72,100,3.42,overcast clouds
181,Ancud,CL,-41.8697,-73.8203,48.22,84,100,10.67,overcast clouds
182,Tomatlan,MX,19.9333,-105.25,77.7,84,41,1.39,scattered clouds
183,La Ronge,CA,55.1001,-105.2842,57.45,88,75,3.44,broken clouds
184,Cockburn Town,TC,21.4612,-71.1419,80.78,86,15,20.29,few clouds
185,Banda Aceh,ID,5.5577,95.3222,81.48,78,100,7.43,overcast clouds
186,Cayenne,GF,4.9333,-52.3333,76.08,1,0,1.14,light rain
187,Dunedin,NZ,-45.8742,170.5036,48.79,56,100,8.99,overcast clouds
188,Port Alfred,ZA,-33.5906,26.891,74.17,29,100,11.01,overcast clouds
189,Morondava,MG,-20.2833,44.2833,78.13,52,0,8.32,clear sky
190,Kruisfontein,ZA,-34.0033,24.7314,68.88,22,100,23.22,overcast clouds
191,Bouna,CI,9.2667,-3.0,71.51,93,99,3.56,light rain
192,Yellowknife,CA,62.456,-114.3525,57.72,77,75,11.5,light intensity shower rain
193,Chokurdakh,RU,70.6333,147.9167,67.3,21,100,12.17,overcast clouds
194,Nanortalik,GL,60.1432,-45.2371,40.39,93,100,6.8,moderate rain
195,Cap Malheureux,MU,-19.9842,57.6142,72.46,83,97,3.0,light rain
196,Okhotsk,RU,59.3833,143.3,46.65,81,100,9.6,overcast clouds
197,Noumea,NC,-22.2763,166.4572,73.99,99,97,5.39,overcast clouds
198,Goundam,ML,16.4145,-3.6708,90.03,35,7,11.97,clear sky
199,La Plaine,DM,15.3333,-61.25,78.67,79,96,17.36,overcast clouds
200,Gamba,GA,-2.65,10.0,76.71,86,8,2.82,clear sky
201,Pochutla,MX,15.7432,-96.4661,74.82,92,92,2.77,overcast clouds
202,Hervey Bay,AU,-25.2986,152.8535,63.05,50,100,9.98,overcast clouds
203,Mikkeli,FI,61.6886,27.2723,68.14,68,0,8.05,clear sky
204,Ribeira Grande,PT,38.5167,-28.7,61.2,77,40,19.57,scattered clouds
205,Lere,NG,10.387,8.5726,71.96,85,72,1.92,broken clouds
206,Salalah,OM,17.0151,54.0924,91.49,70,0,11.5,clear sky
207,Nova Russas,BR,-4.7067,-40.5631,67.89,98,23,0.69,few clouds
208,Palmer,US,42.1584,-72.3287,60.17,84,0,3.44,clear sky
209,Shaunavon,CA,49.6501,-108.4181,55.18,60,6,10.58,clear sky
210,Saint-Philippe,RE,-21.3585,55.7679,76.59,77,82,15.12,broken clouds
211,Faanui,PF,-16.4833,-151.75,79.97,75,9,16.8,light rain
212,Minggang,CN,32.4586,114.0486,79.34,55,100,5.39,light rain
213,Plettenberg Bay,ZA,-34.0527,23.3716,74.01,27,100,21.63,overcast clouds
214,Qaanaaq,GL,77.484,-69.3632,24.89,85,100,3.13,overcast clouds
215,Mago,RU,53.2514,140.1822,77.72,36,11,1.01,few clouds
216,Imbituba,BR,-28.24,-48.6703,48.85,85,0,7.81,clear sky
217,Paciran,ID,-6.8767,112.3761,86.47,65,98,6.22,overcast clouds
218,Lompoc,US,34.6391,-120.4579,64.54,90,0,3.44,clear sky
219,Shimanovsk,RU,52.0,127.7,80.31,31,100,13.02,overcast clouds
220,Aden,YE,12.7794,45.0367,89.28,70,100,10.83,overcast clouds
221,San Cristobal,VE,7.7669,-72.225,65.14,98,100,2.13,overcast clouds
222,Puerto Escondido,MX,15.85,-97.0667,78.17,86,100,5.75,overcast clouds
223,Gisborne,NZ,-38.6533,178.0042,58.35,69,0,12.39,clear sky
224,Cheney,US,47.4874,-117.5758,59.34,93,75,13.8,broken clouds
225,Avarua,CK,-21.2078,-159.775,77.45,64,100,17.47,overcast clouds
226,Udachnyy,RU,66.4167,112.4,61.45,62,96,10.51,light rain
227,Keflavik,IS,64.0049,-22.5624,48.63,87,75,5.75,light intensity drizzle
228,Tahe,CN,52.3333,124.7333,79.84,27,100,10.96,overcast clouds
229,Algiers,DZ,36.7525,3.042,66.02,77,0,2.3,clear sky
230,Constantine,DZ,36.365,6.6147,63.81,48,0,2.3,clear sky
231,Saint-Joseph,RE,-21.3667,55.6167,75.58,73,48,16.33,scattered clouds
232,Zhelyabovka,UA,45.3988,34.7578,78.85,51,100,18.28,overcast clouds
233,Pauini,BR,-7.7136,-66.9764,65.35,89,100,3.76,overcast clouds
234,Akdagmadeni,TR,39.6603,35.8836,70.47,46,1,5.46,clear sky
235,Chumikan,RU,54.7183,135.315,42.93,87,49,9.44,scattered clouds
236,Saint-Francois,FR,46.4154,3.9054,65.64,72,0,0.0,clear sky
237,Yar-Sale,RU,66.8333,70.8333,64.49,66,100,14.61,light rain
238,Paso De Carrasco,UY,-34.8603,-56.0522,49.95,77,0,0.0,clear sky
239,Garowe,SO,8.4054,48.4845,86.59,44,100,27.81,overcast clouds
240,Port Hardy,CA,50.6996,-127.4199,51.98,87,100,5.75,overcast clouds
241,Nanyuki,KE,0.0167,37.0728,69.1,54,68,4.56,broken clouds
242,Pemangkat,ID,1.1667,108.9667,84.31,70,100,9.08,overcast clouds
243,Angoche,MZ,-16.2325,39.9086,73.06,75,34,9.75,scattered clouds
244,Chadiza,ZM,-14.0678,32.4392,60.96,60,3,6.69,clear sky
245,Yingcheng,CN,30.95,113.55,74.66,76,100,4.41,light rain
246,Asau,RO,46.4333,26.4,67.95,97,77,9.57,broken clouds
247,Samarai,PG,-10.6167,150.6667,80.85,81,96,8.7,overcast clouds
248,Matongo,TZ,-2.3833,34.0833,71.17,63,47,4.27,scattered clouds
249,Rio Grande,BR,-32.035,-52.0986,46.94,55,0,19.69,clear sky
