City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
200,Bandarbeyla,SO,2022-06-11 19:43:28,9.4942,50.8122,79.09,78,100,29.26
201,Nanning,CN,2022-06-11 19:43:29,22.8167,108.3167,79.25,97,99,2.1
202,Ust-Kulom,RU,2022-06-11 19:43:29,61.6864,53.6902,42.17,79,100,9.62
203,East London,ZA,2022-06-11 19:42:48,-33.0153,27.9116,73.83,28,2,14.25
204,Vallenar,CL,2022-06-11 19:43:30,-28.5708,-70.7581,73.72,29,0,5.08
205,Bay Roberts,CA,2022-06-11 19:43:30,47.5999,-53.2648,73.15,62,84,14.45
206,Agua Dulce,MX,2022-06-11 19:43:30,18.1333,-94.1333,84.96,68,11,7.7
207,Hammerfest,NO,2022-06-11 19:43:31,70.6634,23.6821,55.85,82,100,6.91
208,Tuktoyaktuk,CA,2022-06-11 19:43:31,69.4541,-133.0374,44.6,76,75,9.22
209,Bingol,TR,2022-06-11 19:43:31,38.8847,40.4939,71.87,37,70,2.73
210,Pangnirtung,CA,2022-06-11 19:43:32,66.1451,-65.7125,37.4,87,100,9.22
211,Entre Rios,BR,2022-06-11 19:43:16,-11.9419,-38.0844,75.27,71,54,6.98
212,Coahuayana,MX,2022-06-11 19:43:32,18.7333,-103.6833,90.64,54,92,7.43
213,Shimoda,JP,2022-06-11 19:43:33,34.6667,138.95,64.11,87,100,23.49
214,Port Elizabeth,ZA,2022-06-11 19:35:56,-33.918,25.5701,63.32,44,79,5.75
215,Shu,KZ,2022-06-11 19:43:33,43.5983,73.7614,70.7,56,100,5.28
216,Banjar,ID,2022-06-11 19:43:33,-8.19,114.9675,76.86,89,100,2.8
217,Codrington,AU,2022-06-11 19:43:34,-38.2667,141.9667,52.02,74,100,18.12
218,Lexington,US,2022-06-11 19:44:18,37.9887,-84.4777,82.42,55,0,6.91
219,Devils Lake,US,2022-06-11 19:44:34,48.1128,-98.8651,75.31,67,75,5.99
220,Tessalit,ML,2022-06-11 19:44:35,20.1986,1.0114,87.53,35,93,21.56
221,Sorland,NO,2022-06-11 19:44:35,67.667,12.6934,49.86,92,91,7.99
222,Prince Rupert,CA,2022-06-11 19:40:07,54.3161,-130.3201,53.69,78,100,20.71
223,Aswan,EG,2022-06-11 19:44:35,24.0934,32.907,101.5,8,0,6.91
224,Torbay,CA,2022-06-11 19:44:36,47.6666,-52.7314,72.37,53,75,20.71
225,Padang,ID,2022-06-11 19:44:36,-0.9492,100.3543,73.89,95,100,3.69
226,Tezu,IN,2022-06-11 19:44:36,27.9167,96.1667,74.34,98,100,3.06
227,Riverton,US,2022-06-11 19:40:09,40.5219,-111.9391,94.3,24,0,10.36
228,Pisco,PE,2022-06-11 19:39:43,-13.7,-76.2167,65.01,77,20,6.91
229,Redcliffe,AU,2022-06-11 19:41:01,-27.2307,153.0973,52.32,64,3,11.88
230,Huarmey,PE,2022-06-11 19:44:37,-10.0681,-78.1522,69.42,71,11,12.64
231,Berbera,SO,2022-06-11 19:44:37,10.4396,45.0143,93.29,39,82,6.26
232,La Roda,ES,2022-06-11 19:40:40,39.2167,-2.15,82.13,34,0,15.9
233,Tonota,BW,2022-06-11 19:44:38,-21.4833,27.4833,53.08,75,0,8.48
234,Mahibadhoo,MV,2022-06-11 19:44:38,3.7833,72.9667,82.85,76,100,11.41
235,Irbil,IQ,2022-06-11 19:44:38,36.1926,44.0106,89.42,12,0,8.05
236,Barrancas,CO,2022-06-11 19:44:39,10.9576,-72.7877,90.52,55,85,6.78
237,Porec,HR,2022-06-11 19:44:39,45.2258,13.5939,71.46,69,0,3.06
238,Faya,SA,2022-06-11 19:44:40,18.3851,42.4509,75.72,34,2,3.36
239,Ulety,RU,2022-06-11 19:44:40,51.3572,112.4849,50.83,93,100,3.58
240,Port-Cartier,CA,2022-06-11 19:44:41,50.0334,-66.8654,61.02,50,58,10.29
241,Lagos,NG,2022-06-11 19:39:43,6.5833,3.75,77.32,96,100,5.77
242,Laguna,US,2022-06-11 19:44:41,38.421,-121.4238,98.15,28,0,9.22
243,North Bend,US,2022-06-11 19:44:41,43.4065,-124.2243,65.25,100,100,6.91
244,Klaksvik,FO,2022-06-11 19:44:42,62.2266,-6.589,52.72,94,72,13.8
245,Quatre Cocos,MU,2022-06-11 19:44:42,-20.2078,57.7625,73.51,73,99,17.72
246,Jinka,ET,2022-06-11 19:44:42,5.65,36.65,65.44,65,14,2.93
247,Marsh Harbour,BS,2022-06-11 19:44:43,26.5412,-77.0636,83.19,69,10,11.97
248,Honningsvag,NO,2022-06-11 19:44:43,70.9821,25.9704,51.55,76,100,10.36
249,Bulawayo,ZW,2022-06-11 19:44:43,-20.15,28.5833,50.47,81,0,9.04
250,Bayan,CN,2022-06-11 19:44:44,46.0833,127.4,58.17,75,24,6.02
251,Ballina,AU,2022-06-11 19:44:44,-28.8667,153.5667,49.59,66,2,10.63
252,Nome,US,2022-06-11 19:42:06,64.5011,-165.4064,48.16,46,0,9.22
253,Jumla,NP,2022-06-11 19:44:45,29.2747,82.1838,59.86,77,77,1.19
254,Cherskiy,RU,2022-06-11 19:36:05,68.75,161.3,63.01,34,99,4.45
255,Atasu,KZ,2022-06-11 19:35:59,48.6814,71.6433,61.66,45,88,1.14
256,Aseri,EE,2022-06-11 19:44:45,59.4506,26.8675,56.68,84,90,6.85
257,Glushkovo,RU,2022-06-11 19:44:45,51.3392,34.6328,68.67,69,73,1.25
258,Asosa,ET,2022-06-11 19:44:46,10.0667,34.5333,64.35,85,100,4.79
259,Catabola,AO,2022-06-11 19:44:46,-12.15,17.2833,55.22,47,1,1.61
260,Vestmannaeyjar,IS,2022-06-11 19:37:17,63.4427,-20.2734,50.77,80,100,24.83
261,Anadyr,RU,2022-06-11 19:44:47,64.75,177.4833,43.3,60,0,13.42
262,Mangrol,IN,2022-06-11 19:44:47,21.1167,70.1167,83.19,80,45,10.76
263,Longyearbyen,SJ,2022-06-11 19:44:47,78.2186,15.6401,39.04,75,75,11.5
264,High Level,CA,2022-06-11 19:45:23,58.5169,-117.136,68.11,52,40,3.44
265,Luderitz,NA,2022-06-11 19:45:48,-26.6481,15.1594,65.39,47,4,7.23
266,Altamont,US,2022-06-11 19:45:48,42.2068,-121.7372,75.78,46,20,14.97
267,Dongsheng,CN,2022-06-11 19:45:48,39.8161,109.9776,57.07,24,25,9.08
268,Polovinnoye,RU,2022-06-11 19:45:49,54.7914,65.9864,54.57,94,62,10.07
269,Isangel,VU,2022-06-11 19:45:49,-19.55,169.2667,77.59,88,98,5.55
270,Pevek,RU,2022-06-11 19:45:49,69.7008,170.3133,40.08,57,77,7.56
271,Davenda,RU,2022-06-11 19:45:50,53.5556,119.317,55.13,73,75,1.28
272,Saint-Philippe,RE,2022-06-11 19:45:50,-21.3585,55.7679,65.79,79,49,12.39
273,Teya,RU,2022-06-11 19:45:50,60.3778,92.6267,57.16,61,100,3.65
274,Harper,LR,2022-06-11 19:45:51,4.375,-7.7169,75.85,90,100,6.67
275,Sao Gabriel Da Cachoeira,BR,2022-06-11 19:45:51,-0.1303,-67.0892,75.0,88,100,5.75
276,Veinticinco De Mayo,AR,2022-06-11 19:45:51,-35.4323,-60.1727,61.99,33,15,4.0
277,Gat,IL,2022-06-11 19:41:05,31.61,34.7642,88.39,25,0,4.32
278,Batemans Bay,AU,2022-06-11 19:45:52,-35.7167,150.1833,51.1,57,2,9.6
279,Rio Gallegos,AR,2022-06-11 19:42:33,-51.6226,-69.2181,50.05,53,0,8.05
280,Camacha,PT,2022-06-11 19:45:52,33.0833,-16.3333,65.62,77,40,11.5
281,Halifax,CA,2022-06-11 19:43:55,44.6453,-63.5724,74.52,57,100,4.0
282,Limbang,MY,2022-06-11 19:41:13,4.75,115.0,77.11,98,93,1.83
283,Paamiut,GL,2022-06-11 19:45:53,61.994,-49.6678,42.22,75,100,3.13
284,Nouadhibou,MR,2022-06-11 19:45:53,20.931,-17.0347,71.58,78,0,18.41
285,Lagoa,PT,2022-06-11 19:37:15,39.05,-27.9833,60.49,81,100,10.18
286,Pacific Grove,US,2022-06-11 19:36:08,36.6177,-121.9166,87.24,72,0,8.99
287,Manor,IN,2022-06-11 19:45:54,19.75,72.9167,78.19,92,100,8.52
288,Leninskoye,KZ,2022-06-11 19:45:54,41.7589,69.3864,69.35,55,78,2.62
289,Liku,ID,2022-06-11 19:45:54,-0.7275,119.8922,74.93,91,99,3.22
290,Mercedes,AR,2022-06-11 19:45:55,-34.6515,-59.4307,61.03,25,53,7.25
291,Xuchang,CN,2022-06-11 19:45:55,34.0167,113.8167,77.4,55,100,8.37
292,Poya,NC,2022-06-11 19:45:56,-21.35,165.15,70.7,92,87,4.81
293,Chumikan,RU,2022-06-11 19:45:56,54.7183,135.315,38.26,97,91,2.33
294,Geraldton,AU,2022-06-11 19:45:56,-28.7667,114.6,63.01,94,75,5.75
295,Urucara,BR,2022-06-11 19:45:57,-2.5364,-57.76,75.99,96,100,1.23
